Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 1 | Evilness: 2 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
Result: Victory | Stage: 3 | Kumo Level: 4 | Goodness: 0 | Evilness: 3 | Final Path: Ambition
